METHANE,190.6,4.604,0.011,0.288,0
ETHANE,305.4,4.88,0.099,0.284,0
PROPANE,369.8,4.249,0.152,0.281,0
n-BUTANE,425.2,3.797,0.193,0.274,0
ISOBUTANE,408.1,3.648,0.177,0.282,0
n-PENTANE,469.7,3.369,0.249,0.269,0
ISOPENTANE,460.4,3.381,0.228,0.27,0
NEOPENTANE,433.8,3.199,0.196,0.269,0
n-HEXANE,507.4,3.012,0.305,0.264,0
n-HEPTANE,540.3,2.736,0.349,0.263,0
n-OCTANE,568.8,2.486,0.396,0.259,0
n-NONANE,595.7,2.306,0.437,0.255,0
n-DECANE,618.5,2.123,0.484,0.249,0
n-DODECANE,658.2,1.824,0.575,0.238,0
n-TETRADECANE,696.9,1.438,0.57,0.203,0
n-HEXADECANE,720.6,1.419,0.747,0.22,0
CYCLOPENTANE,511.8,4.502,0.194,0.273,0
METHYLCYCLOPENTANE,532.8,3.785,0.23,0.272,0
CYCLOHEXANE,553.5,4.075,0.215,0.273,0
METHYLCYCLOHEXANE,572.2,3.471,0.235,0.269,0
ETHYLENE,282.4,5.032,0.085,0.277,0
PROPYLENE,364.8,4.613,0.142,0.275,0
1-BUTENE,419.6,4.02,0.187,0.276,0
ISOBUTENE,417.9,3.999,0.189,0.275,0
1-PENTENE,464.8,3.529,0.233,0.27,0
ACETYLENE,308.3,6.139,0.187,0.271,0
1.3-BUTADIENE,425.4,4.33,0.193,0.27,0
ISOPRENE,484,3.85,0.158,0.264,0
BENZENE,562.2,4.898,0.211,0.271,0
TOLUENE,591.8,4.109,0.264,0.264,0
ETHYLBENZENE,617.2,3.609,0.304,0.263,0
o-XYLENE,630.4,3.734,0.313,0.263,0
m-XYLENE,617.1,3.541,0.326,0.259,0
p-XYLENE,616.3,3.511,0.326,0.26,0
CUMENE,631.2,3.209,0.338,0.262,0
BIPHENYL,789.3,3.847,0.366,0.294,0
DIPHENYLMETHANE,768,2.92,0.461,0.25,0
NAPHTHALENE,748.4,4.051,0.302,0.269,0
1-METHYLNAPHTHALENE,772,3.65,0.292,0.297,0
TETRALIN,720.2,3.3,0.286,0.243,0
METHANOL,512.6,8.096,0.566,0.224,0
ETHANOL,516.4,6.384,0.637,0.248,0
PROPANOL,536.7,5.17,0.628,0.253,0
ISOPROPANOL,508.3,4.764,0.669,0.248,0
1-BUTANOL,562.9,4.412,0.594,0.259,0
ISOBUTANOL,547.7,4.295,0.589,0.257,0
THF,501.1,5.19,0.217,0.259,0
DIETHYL ETHER,466.7,3.59,0.281,0.262,0
ETHYLENE OXIDE,469,7.1,0.2,0.258,0
METHYL ETHYL KETONE,535.6,4.1,0.329,0.249,0
FREON-12(CCl2F2),385,4.07,0.176,0.28,0
FREON-22(CClF2),369.8,4.97,0.221,0.268,0
FREON-11(CCl3F),471.2,4.35,0.188,0.279,0
FREON-113(C2Cl3F3),487.2,3.37,0.252,0.256,0
METHYL CHLORIDE,416.3,6.59,0.156,0.268,0
CHLOROFORM(CHCl3),536.4,5.4,0.216,0.293,0
CARBON TETRACHLORIDE,556.4,4.5,0.194,0.272,0
CHLOROBENZENE,632.4,4.46,0.249,0.265,0
ARGON,150.9,4.898,-0.004,0.291,0
BROMINE,584.2,10.335,0.119,0.287,0
CHLORINE,417.2,7.711,0.069,0.275,0
HELIUM-4,5.2,0.228,0,0.302,0
KRYPTON,209.4,5.502,0.001,0.288,0
NEON,44.4,2.653,-0.041,0.3,0
XENON,289.7,5.84,0.012,0.286,0
NITRIC OXIDE,180.2,6.485,0.585,0.25,0
NITROUS OXIDE,309.6,7.245,0.142,0.274,0
SULFUR DIOXIDE,430.8,7.884,0.245,0.269,0
SULFUR TRIOXIDE,490.9,8.207,0.422,0.256,0
OXYGEN,154.6,5.043,0.022,0.288,0
HYDROGEN,33.3,1.297,-0.215,0.3,0
NITROGEN,126.1,3.394,0.04,0.292,0
CARBON MONOXIDE,132.9,3.499,0.066,0.295,0
CARBON DIOXIDE,304.2,7.382,0.228,0.274,0
HYDROGEN SULFIDE,373.5,8.937,0.081,0.283,0
CARBON DISULFIDE,552,7.8,0.115,0.293,0
HYDRAZINE(N2H4),653,14.5,0.328,0.26,0
HYDROGEN CHLORIDE,324.6,8.2,0.12,0.249,0
HYDROGEN CYANIDE,456.8,5.32,0.407,0.197,0
ACETONE,508.2,4.701,0.306,0.233,0
ACETONITRILE,545.5,4.833,0.353,0.184,0
ACETIC ACID,592.7,5.786,0.462,0.2,0
AMMONIA,406.6,11.27,0.252,0.242,0
WATER,647.3,22.12,0.344,0.233,0
